epoch,train_loss,valid_loss
1,5.827555583557303,5.386615095294138
2,5.275949486570666,5.0982715826240055
3,5.029946213391889,4.879392363442587
4,4.852755555544431,4.742089691306536
5,4.734740267947408,4.654947252776716
6,4.635676114777199,4.547072289087439
7,4.540432056316643,4.48063597915753
8,4.476398215389837,4.436663371270166
9,4.427491621787932,4.404201662553791
10,4.388869365962163,4.380888098730654
11,4.358495365973405,4.363787808266501
12,4.329977915779394,4.348891620042003
13,4.307361670661628,4.336395747245513
14,4.284551051862368,4.3255762131915
15,4.26498769018979,4.317946795450666
16,4.247034142859288,4.310078204317251
17,4.231171190659667,4.304532149802346
18,4.216763605843817,4.296085188959233
19,4.201819482608322,4.2906197308966565
20,4.190153694069609,4.286724412218413
21,4.178357645019356,4.284601450176665
22,4.166389527317825,4.283350203407462
23,4.156718629153996,4.278641940745578
24,4.146189666691384,4.271235253671118
25,4.137211669477392,4.271026766020276
26,4.128405719737827,4.2688002726945005
27,4.120238227031992,4.266150805835927
28,4.113287780253298,4.263226476893204
29,4.104709386452783,4.264288290343366
30,4.098256056008219,4.25973840806076
31,4.091247457223407,4.262952470125073
32,4.085186555394124,4.257621048635286
33,4.078675764790145,4.2568971851995325
34,4.072807478456119,4.260460845605707
35,4.0666675688660945,4.256862482235178
36,4.0607315843249046,4.256075239930133
37,4.055975264415677,4.254210133210505
38,4.051148735423384,4.253219102166534
39,4.046917552404289,4.25283583104501
40,4.042101984633554,4.248007967415583
41,4.037410085264341,4.250237631881809
42,4.032229613996478,4.250556565350505
43,4.0287799904418495,4.249629335289183
44,3.982059305579792,4.242192376101397
45,3.972375808633114,4.240163404399565
46,3.966630416335568,4.240682780738718
47,3.9627158112665093,4.239346665716369
48,3.959371214060952,4.2420996702767315
49,3.9568479388587217,4.244543574417186
50,3.9536304355694005,4.245190232155256
