epoch,train_loss,valid_loss
1,5.811372365123344,5.375623922807905
2,5.27305867561905,5.1075137555968615
3,5.039064232164313,4.88884422488653
4,4.853271082405926,4.739705094548329
5,4.712717952748254,4.603504783088484
6,4.597183711762748,4.521137865069467
7,4.519631962792261,4.46621951505457
8,4.462995449710021,4.428885558324038
9,4.418445035002877,4.400072219434485
10,4.3816142147852775,4.377485650175674
11,4.350330249136745,4.360664595174888
12,4.3235905421176675,4.345621170361335
13,4.299517324506524,4.332067623361561
14,4.278672686511848,4.319693788848615
15,4.259217279009057,4.313220599139746
16,4.242589606903983,4.304162163146992
17,4.226197183323584,4.2990963838761145
18,4.212181131569468,4.291791598493411
19,4.198204333439585,4.286091674462794
20,4.186242738624559,4.281057273293292
21,4.173088781271769,4.277622980408762
22,4.16204344128252,4.276139201753593
23,4.151532307404805,4.272679302021915
24,4.142465862513093,4.265667355034279
25,4.13335006547039,4.264765169349446
26,4.124275078743829,4.260908453987273
27,4.116297253409073,4.257023571747881
28,4.108672679708368,4.254983902257353
29,4.100665354174906,4.254231951570115
30,4.093808302790447,4.253404051597858
