epoch,train_loss,valid_loss
1,5.6780992366905005,5.272624679322976
2,5.146587752615651,4.940696338061664
3,4.886965274417901,4.7194393554088565
4,4.696505164855204,4.5691303059596535
5,4.577480312580624,4.496053844692287
6,4.502465961963552,4.441113702971917
7,4.447629388893148,4.409699104581989
8,4.403267115455011,4.38159173319566
9,4.367281761375123,4.360095514778124
10,4.335276771933956,4.34337953995653
11,4.309476240955862,4.327120254528249
12,4.285416546347042,4.316238413104818
13,4.2648357099537035,4.307141082139468
14,4.245086950148509,4.2990404148305545
15,4.2276149074887845,4.291257223050374
16,4.212253076530743,4.2817092414524325
17,4.197437411426064,4.274402709687361
18,4.183888370204307,4.274601099234656
19,4.172234653017814,4.266049798601953
20,4.160363803503854,4.2659427995897925
21,4.148988142752108,4.259209297256315
22,4.140506026175035,4.255743987898346
23,4.131732194909654,4.255114529007009
24,4.121947865194397,4.2489572515579574
25,4.115087877132345,4.248361029207567
26,4.106494953916611,4.246883895344957
27,4.1001224866270345,4.244452627300163
28,4.093275531937924,4.241090488080854
29,4.087955626611415,4.239889786009271
30,4.080610052906429,4.238262455360858
