epoch,train_loss,valid_loss
1,5.996919350536801,5.594566842387135
2,5.471349745976545,5.325478702007457
3,5.274727873028394,5.173809703265888
4,5.1338055114311825,5.043445063047473
5,5.007935147592727,4.924076567261151
6,4.8940734325051345,4.82022870290407
7,4.802476018633379,4.742606339584428
8,4.720299211801028,4.662045229090711
9,4.640574683930311,4.590475744058378
10,4.575571752208456,4.53686987538491
11,4.5241444768441825,4.49879517379822
12,4.482000308913035,4.468537224941613
13,4.446447447864442,4.441041055789194
14,4.416211490366174,4.420065057528277
15,4.39094755437306,4.403548718640479
16,4.367117324039864,4.387844486195213
17,4.346070425553432,4.37773264598195
18,4.327801169247402,4.363379253436399
19,4.30974395992802,4.353769609397241
20,4.29293413471682,4.346113632952983
21,4.2791626743969315,4.338385642365109
22,4.264698039432787,4.330942502164195
23,4.251597111070805,4.326751147888842
24,4.239333304574193,4.318862381848599
25,4.228405295432787,4.315151733013809
26,4.216973150957569,4.310620062649842
27,4.207321657444625,4.303566979528333
28,4.197207588104866,4.298490212069153
29,4.187977519884202,4.300725263296991
30,4.179855082500386,4.294120732985538
