epoch,train_loss,valid_loss
1,5.918036863242922,5.473873878520315
2,5.385199419156221,5.138650125977953
3,5.1720542759402965,4.970272787564284
4,5.026379623634574,4.855278473730966
5,4.925567102943601,4.773104254433224
6,4.858046446791748,4.725089929367457
7,4.811784706481962,4.692728561236038
8,4.779475525851067,4.670107362393074
9,4.755658560081618,4.6464485458868205
10,4.7369707128727825,4.634443251562602
11,4.72187594530306,4.617951503780643
12,4.709891672288274,4.608453651151114
13,4.699192444877542,4.59787707914178
14,4.6899133763442995,4.593536528967304
15,4.683093896663386,4.588068576625732
16,4.677496412849215,4.57593637880884
17,4.670863676900069,4.5774739359368395
18,4.665734286777398,4.57078306641005
19,4.6608002678667075,4.563130537745455
20,4.6570332349555645,4.564909459653936
21,4.653056542338897,4.5597066784369416
22,4.649687125342966,4.552713929038478
23,4.646889436900297,4.55130299508846
24,4.6435896622910775,4.548981964960793
25,4.64142538196233,4.544385068031934
26,4.638088711593187,4.54499082542693
27,4.636298191475784,4.547387616937823
28,4.633506768750763,4.539743004295211
29,4.629813544669408,4.528630915526063
30,4.6169441092589025,4.514119235248348
